"response","time_taken","conf_level","choice_reason","sample_size","p_value","age","academic_study","gender","beta","sigma","id","replica","pic"
"TRUE",22,4,"1",300,6e-04,2,1,"Female",2,5,138,2,"plot_turk1_300_2_5_2.png"
"TRUE",27,4,"1",300,0.0155,2,1,"Female",2,5,137,3,"plot_turk1_300_2_5_3.png"
"TRUE",40,3,"1",300,0,2,1,"Female",3,5,138,2,"plot_turk1_300_3_5_2.png"
"TRUE",50,4,"1",300,0,2,1,"Female",3,5,138,3,"plot_turk1_300_3_5_3.png"
"TRUE",59,3,"1",300,0.0969,2,1,"Female",1,12,138,1,"plot_turk1_300_1_12_1.png"
"TRUE",36,3,"1",300,0.0969,2,1,"Female",1,12,137,1,"plot_turk1_300_1_12_1.png"
"FALSE",19,3,"1",300,0.0015,2,1,"Female",3,12,137,1,"plot_turk1_300_3_12_1.png"
"TRUE",30,3,"1",300,0.0295,2,1,"Female",3,12,137,2,"plot_turk1_300_3_12_2.png"
"TRUE",25,3,"1",300,0,2,1,"Female",5,12,137,1,"plot_turk1_300_5_12_1.png"
"FALSE",56,3,"1",300,0.0082,2,1,"Female",5,12,138,3,"plot_turk1_300_5_12_3.png"
"TRUE",27,4,"1",300,0,2,1,"Female",10,12,138,1,"plot_turk1_300_10_12_1.png"
"TRUE",18,3,"1",300,0,2,1,"Female",10,12,137,1,"plot_turk1_300_10_12_1.png"
"FALSE",67,5,"1",100,0.0036,10,3,"Male",3,5,169,2,"plot_turk1_100_3_5_2.png"
"TRUE",63,3,"1",100,0.0248,10,3,"Male",3,12,169,1,"plot_turk1_100_3_12_1.png"
"TRUE",26,3,"1",100,0,10,3,"Male",8,12,169,1,"plot_turk1_100_8_12_1.png"
"FALSE",37,3,"1",100,0,10,3,"Male",10,12,169,1,"plot_turk1_100_10_12_1.png"
"TRUE",27,3,"1",100,1e-04,10,3,"Male",10,12,169,2,"plot_turk1_100_10_12_2.png"
"TRUE",34,3,"1",100,0,10,3,"Male",16,12,169,1,"plot_turk1_100_16_12_1.png"
"FALSE",58,3,"1",300,0.4854,10,3,"Male",0,5,169,2,"plot_turk1_300_0_5_2.png"
"FALSE",79,3,"1",300,0.0155,10,3,"Male",2,5,170,3,"plot_turk1_300_2_5_3.png"
"TRUE",62,3,"1",300,0,10,3,"Male",3,5,169,2,"plot_turk1_300_3_5_2.png"
